zip,covidrate
77003,10479.951397326853
77005,3551.4149621742786
77008,6508.893049379827
77009,8772.752344180915
77002,14582.565765234693
77010,5220.417633410672
77014,6748.045535591827
77021,6895.51678859501
77011,10689.209683761164
77024,5688.006461867167
77026,8471.849865951743
77027,6384.86027591086
77032,10444.901724260271
77035,6954.106530993666
77037,9866.588476762938
77040,8092.772830813832
77033,7484.19890980838
77036,7697.413804323775
77038,9405.388171528773
77039,10149.726968469262
77004,5124.597526989367
77006,5562.919759632378
77012,10761.249229504829
77017,10372.860635696821
77020,9499.398034875141
77023,10046.777189241246
77025,5014.677948540839
77028,8623.886131212248
77029,10950.801547816473
77034,9321.030297049245
77044,8865.642366786531
77046,13092.783505154639
77054,6730.091613812544
77056,6474.985096528638
77062,5228.01426511875
77067,6944.323933477947
77075,8344.524617030478
77077,6297.844523576061
77081,7097.046737585928
77092,6939.925707698219
77336,4789.117836445589
77338,8376.3760020567
77346,7396.12230357603
77377,5873.13594121461
77401,4055.3855727843184
77507,Inf
77520,8643.313872671672
77587,10176.05633802817
77042,5710.925555686228
77064,7674.231773448484
77598,5828.580062705398
77070,6671.800747572268
77071,7801.666783388192
77083,4515.225761288064
77085,10019.700120389623
77086,10322.84597984783
77088,8373.24351349929
77089,9317.565811458064
77094,5561.2770339855815
77365,43.12699462350134
77375,7450.980392156863
77429,5905.324640043466
77433,7660.1383468884105
77447,6413.036336158749
77477,382.90074665645596
77489,1324.285870635876
77502,10900.919732441473
77503,9313.077939233817
77504,9767.539267015707
77521,7765.982385050735
77536,8362.86536422838
77547,10450.7379337854
77562,5375.722543352601
77043,8185.64074350611
77045,8235.19944204512
77048,9288.414875007053
77049,10380.357649730342
77050,6601.320264052811
77053,5039.110479022561
77055,8146.821844225605
77058,6800.307492164863
77059,4733.238904627006
77060,8057.464084946908
77061,8946.772366930918
77069,5391.472451938567
77074,8038.950369690233
77082,6708.448142345165
77087,10738.018389432857
77090,7389.350194256112
77091,8807.888322623532
77099,8162.003111119441
77345,1781.0026385224276
77357,59.15059742103396
77379,6406.121071187458
77396,8005.192557334487
77450,3605.9878126569224
77493,10726.353969680998
77494,302.63764360069223
77546,1656.0390097524382
77007,7388.24282513603
77013,6954.505940307157
77015,9268.987623541983
77016,8597.270076861914
77018,6194.4395254117235
77019,7082.883812561565
77022,9364.50118470842
77030,7680.379458177506
77031,7253.649635036497
77041,8029.238927905977
77047,8483.480955107265
77051,7547.501759324419
77057,6336.891309061995
77063,6850.440183773517
77065,6392.264471449105
77066,7018.49985014849
77068,7169.502320080065
77072,7903.846776019929
77073,10310.21679243023
77076,9163.927397456053
77078,8656.154694698593
77079,6541.69628050225
77080,8365.334264269506
77084,8995.35747446611
77093,9975.466666666667
77095,6666.852166170456
77096,5857.443217151826
77098,6310.428813934607
77339,2356.510132265502
77373,7071.903609564585
77388,6656.293572049225
77389,6203.853008571671
77449,8474.603872522677
77484,1699.9728727733068
77505,8529.681125634834
77506,9378.241028832192
77523,289.5796570290937
77530,9182.309701719216
77532,8409.889219129966
77571,7213.597430406852
77581,197.53285495444652
77586,5859.6351045412175
