sim,finalX,finalsize
1,0,1
2,0,1
3,16,3113
4,22,3020
5,0,1
6,18,3044
7,9,2976
8,20,3029
9,0,1
10,16,3090
11,0,1
12,0,1
13,22,3072
14,0,1
15,0,1
16,18,3033
17,14,3063
18,0,1
19,18,3029
20,0,1
21,14,3119
22,19,3022
23,0,1
24,0,1
25,0,1
26,18,3100
27,26,3081
28,9,3060
29,0,1
30,10,2960
31,0,1
32,0,1
33,0,1
34,0,1
35,12,2980
36,18,3053
37,12,3052
38,29,3133
39,13,3011
40,0,1
41,0,1
42,0,1
43,0,1
44,25,3055
45,0,1
46,13,3038
47,23,3030
48,15,3024
49,21,2994
50,11,2971
51,0,1
52,19,3069
53,23,3006
54,14,3064
55,17,2977
56,15,2960
57,0,1
58,0,1
59,24,3002
60,0,1
61,11,3038
62,0,1
63,22,2962
64,0,1
65,13,2969
66,15,3060
67,13,3069
68,0,1
69,16,3052
70,0,5
71,0,1
72,11,3075
73,0,1
74,12,2973
75,18,3058
76,15,3051
77,11,2972
78,0,1
79,8,3029
80,17,2986
81,0,1
82,0,1
83,19,3071
84,0,1
85,0,1
86,0,1
87,0,1
88,16,2929
89,12,3007
90,0,1
91,0,1
92,18,3065
93,18,3057
94,21,3059
95,0,1
96,0,1
97,0,1
98,15,3029
99,0,1
100,7,2970
